1,Denver,4,57.5,14.38
2,Minnesota,5,83.9,16.78
3,Kansas City,5,92.6,18.52
4,Arizona,5,95,19
5,Philadelphia,5,97.7,19.54
6,Buffalo,5,101.2,20.24
7,Cleveland,5,103.2,20.64
8,Seattle,5,104.5,20.9
9,Miami,4,85.5,21.38
10,Indianapolis,5,107.7,21.54
11,Cincinnati,5,107.9,21.58
12,Houston,5,109.4,21.88
13,Tennessee,5,112.5,22.5
14,Carolina,5,114.2,22.84
15,Washington,4,91.7,22.93
16,Chicago,5,116.1,23.22
17,Tampa Bay,4,93.4,23.35
18,Oakland,5,118.5,23.7
19,Green Bay,5,119.4,23.88
20,Detroit,5,120.6,24.12
21,Baltimore,5,125.3,25.06
22,NY Giants,5,128.5,25.7
23,Jacksonville,5,136.6,27.32
24,Atlanta,4,110.5,27.62
25,Dallas,5,140.6,28.12
26,LA Rams,5,141.7,28.34
27,LA Chargers,5,142.6,28.52
28,NY Jets,5,143.6,28.72
29,New Orleans,4,117.6,29.4
30,San Francisco,5,148.8,29.76
31,Pittsburgh,5,149.3,29.86
32,New England,5,156.2,31.24
